3/7/2025,maven,java,hippy,someone who is dazzlingly skilled in any field,an island in Indonesia to the south of Borneo; one of the world's most densely populated regions,someone who rejects the established culture; advocates extreme liberalism in politics and lifestyle
3/8/2025,minus,year,eclair,an arithmetic operation in which the difference between two numbers is calculated,a period of time containing 365 (or 366) days,oblong cream puff
3/9/2025,tape,tappet,bustle,a long thin piece of cloth or paper as used for binding or fastening,a lever that is moved in order to tap something else,a rapid active commotion
3/10/2025,bawbee,egret,wile,an old Scottish coin of little value,any of various usually white herons having long plumes during breeding season,the use of tricks to deceive someone (usually to extract money from them)
3/11/2025,coot,column,tinker,slate-black slow-flying birds somewhat resembling ducks,a line of units following one after another,a person who enjoys fixing and experimenting with machines and their parts
3/12/2025,strut,reach,basil,a proud stiff pompous gait,the limits within which something can be effective,any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum
3/13/2025,choker,pebble,bobby,someone who kills by strangling,a small smooth rounded rock,an informal term for a British policeman
3/14/2025,stigma,thrust,stein,the apical end of the style where deposited pollen enters the pistil,the force used in pushing,a mug intended for serving beer
3/15/2025,peanut,canary,caiman,underground pod of the peanut vine,someone acting as an informer or decoy for the police,a semiaquatic reptile of Central and South America that resembles an alligator but has a more heavily armored belly
3/16/2025,luting,hyrax,brown,a substance for packing a joint or coating a porous surface to make it impervious to gas or liquid,any of several small ungulate mammals of Africa and Asia with rodent-like incisors and feet with hooflike toes,an orange of low brightness and saturation
3/17/2025,verger,sight,gaming,a church officer who takes care of the interior of the building and acts as an attendant (carries the verge) during ceremonies,an instance of visual perception,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
3/18/2025,lacer,market,diadem,a workman who laces shoes or footballs or books (during binding),the world of commercial activity where goods and services are bought and sold,an ornamental jeweled headdress signifying sovereignty
3/19/2025,throat,atopy,chaise,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,an allergic reaction that becomes apparent in a sensitized person only minutes after contact,a long chair; for reclining
3/20/2025,loafer,mimeo,jackal,person who does no work,a rotary duplicator that uses a stencil through which ink is pressed (trade mark Roneo),Old World nocturnal canine mammal closely related to the dog; smaller than a wolf; sometimes hunts in a pack but usually singly or as a member of a pair
3/21/2025,wring,double,ileum,a twisting squeeze,a base hit on which the batter stops safely at second base,the part of the small intestine between the jejunum and the cecum
3/22/2025,gamma,cramp,squall,the 3rd letter of the Greek alphabet,a painful and involuntary muscular contraction,sudden violent winds; often accompanied by precipitation
3/23/2025,range,eczema,murder,an area in which something acts or operates or has power or control:,generic term for inflammatory conditions of the skin; particularly with vesiculation in the acute stages,unlawful premeditated killing of a human being by a human being
3/24/2025,hector,cause,marcel,(Greek mythology) a mythical Trojan who was killed by Achilles during the Trojan War,events that provide the generative force that is the origin of something,a hairdo characterized by deep regular waves that are made by a heated curling iron
3/25/2025,lumper,wales,finery,a laborer who loads and unloads vessels in a port,one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; during Roman times the region was known as Cambria,elaborate or showy attire and accessories
3/26/2025,swain,sweet,clank,a man who is the lover of a girl or young woman,English phonetician; one of the founders of modern phonetics (1845-1912),a loud resonant repeating noise
3/27/2025,winder,retort,faller,"a worker who winds (e.g., a winch or clock or other mechanism)",a quick reply to a question or remark (especially a witty or critical one),a person who fells trees
3/28/2025,tucker,floss,needer,United States anarchist influential before World War I (1854-1939),a soft loosely twisted thread used in embroidery,a person who wants or needs something
